F99   | E:   99 | N:    0 | D:    0
L180  | E:   99 | N:    0 | D:  180
W1    | E:   98 | N:    0 | D:  180
W3    | E:   95 | N:    0 | D:  180
R90   | E:   95 | N:    0 | D:  270
E5    | E:  100 | N:    0 | D:  270
R180  | E:  100 | N:    0 | D:   90
S4    | E:  100 | N:   -4 | D:   90
F55   | E:  100 | N:  -59 | D:   90
L90   | E:  100 | N:  -59 | D:    0
E5    | E:  105 | N:  -59 | D:    0
S3    | E:  105 | N:  -62 | D:    0
R180  | E:  105 | N:  -62 | D:  180
N2    | E:  105 | N:  -60 | D:  180
W3    | E:  102 | N:  -60 | D:  180
S1    | E:  102 | N:  -61 | D:  180
F64   | E:   38 | N:  -61 | D:  180
W4    | E:   34 | N:  -61 | D:  180
F76   | E:  -42 | N:  -61 | D:  180
N2    | E:  -42 | N:  -59 | D:  180
F7    | E:  -49 | N:  -59 | D:  180
L180  | E:  -49 | N:  -59 | D:    0
S2    | E:  -49 | N:  -61 | D:    0
E5    | E:  -44 | N:  -61 | D:    0
S2    | E:  -44 | N:  -63 | D:    0
F87   | E:   43 | N:  -63 | D:    0
N4    | E:   43 | N:  -59 | D:    0
L90   | E:   43 | N:  -59 | D:  270
F46   | E:   43 | N:  -13 | D:  270
R90   | E:   43 | N:  -13 | D:    0
F47   | E:   90 | N:  -13 | D:    0
W5    | E:   85 | N:  -13 | D:    0
N4    | E:   85 | N:   -9 | D:    0
L270  | E:   85 | N:   -9 | D:   90
N5    | E:   85 | N:   -4 | D:   90
F89   | E:   85 | N:  -93 | D:   90
L180  | E:   85 | N:  -93 | D:  270
W2    | E:   83 | N:  -93 | D:  270
N5    | E:   83 | N:  -88 | D:  270
F69   | E:   83 | N:  -19 | D:  270
E3    | E:   86 | N:  -19 | D:  270
L90   | E:   86 | N:  -19 | D:  180
F73   | E:   13 | N:  -19 | D:  180
L90   | E:   13 | N:  -19 | D:   90
N1    | E:   13 | N:  -18 | D:   90
F28   | E:   13 | N:  -46 | D:   90
N4    | E:   13 | N:  -42 | D:   90
F72   | E:   13 | N: -114 | D:   90
L90   | E:   13 | N: -114 | D:    0
F24   | E:   37 | N: -114 | D:    0
R90   | E:   37 | N: -114 | D:   90
S1    | E:   37 | N: -115 | D:   90
F52   | E:   37 | N: -167 | D:   90
L90   | E:   37 | N: -167 | D:    0
W2    | E:   35 | N: -167 | D:    0
F39   | E:   74 | N: -167 | D:    0
E1    | E:   75 | N: -167 | D:    0
L180  | E:   75 | N: -167 | D:  180
S4    | E:   75 | N: -171 | D:  180
W1    | E:   74 | N: -171 | D:  180
S2    | E:   74 | N: -173 | D:  180
F61   | E:   13 | N: -173 | D:  180
E3    | E:   16 | N: -173 | D:  180
F37   | E:  -21 | N: -173 | D:  180
S1    | E:  -21 | N: -174 | D:  180
W3    | E:  -24 | N: -174 | D:  180
F8    | E:  -32 | N: -174 | D:  180
S5    | E:  -32 | N: -179 | D:  180
L90   | E:  -32 | N: -179 | D:   90
N5    | E:  -32 | N: -174 | D:   90
E2    | E:  -30 | N: -174 | D:   90
L180  | E:  -30 | N: -174 | D:  270
F44   | E:  -30 | N: -130 | D:  270
W3    | E:  -33 | N: -130 | D:  270
S1    | E:  -33 | N: -131 | D:  270
R90   | E:  -33 | N: -131 | D:    0
F88   | E:   55 | N: -131 | D:    0
N1    | E:   55 | N: -130 | D:    0
F75   | E:  130 | N: -130 | D:    0
S2    | E:  130 | N: -132 | D:    0
W2    | E:  128 | N: -132 | D:    0
F37   | E:  165 | N: -132 | D:    0
N4    | E:  165 | N: -128 | D:    0
E3    | E:  168 | N: -128 | D:    0
R90   | E:  168 | N: -128 | D:   90
F47   | E:  168 | N: -175 | D:   90
N5    | E:  168 | N: -170 | D:   90
W5    | E:  163 | N: -170 | D:   90
L90   | E:  163 | N: -170 | D:    0
S4    | E:  163 | N: -174 | D:    0
E5    | E:  168 | N: -174 | D:    0
F7    | E:  175 | N: -174 | D:    0
R90   | E:  175 | N: -174 | D:   90
E5    | E:  180 | N: -174 | D:   90
R90   | E:  180 | N: -174 | D:  180
W2    | E:  178 | N: -174 | D:  180
F56   | E:  122 | N: -174 | D:  180
S2    | E:  122 | N: -176 | D:  180
R270  | E:  122 | N: -176 | D:   90
S1    | E:  122 | N: -177 | D:   90
W3    | E:  119 | N: -177 | D:   90
S2    | E:  119 | N: -179 | D:   90
W2    | E:  117 | N: -179 | D:   90
F79   | E:  117 | N: -258 | D:   90
W4    | E:  113 | N: -258 | D:   90
N5    | E:  113 | N: -253 | D:   90
W3    | E:  110 | N: -253 | D:   90
F84   | E:  110 | N: -337 | D:   90
L90   | E:  110 | N: -337 | D:    0
N5    | E:  110 | N: -332 | D:    0
E2    | E:  112 | N: -332 | D:    0
F48   | E:  160 | N: -332 | D:    0
E1    | E:  161 | N: -332 | D:    0
L180  | E:  161 | N: -332 | D:  180
E4    | E:  165 | N: -332 | D:  180
L90   | E:  165 | N: -332 | D:   90
W4    | E:  161 | N: -332 | D:   90
E4    | E:  165 | N: -332 | D:   90
S4    | E:  165 | N: -336 | D:   90
W4    | E:  161 | N: -336 | D:   90
F36   | E:  161 | N: -372 | D:   90
F93   | E:  161 | N: -465 | D:   90
L180  | E:  161 | N: -465 | D:  270
W5    | E:  156 | N: -465 | D:  270
S1    | E:  156 | N: -466 | D:  270
