F99   | SE:  990 | SN:   99 | WE:   10 |W N:    1
L180  | SE:  990 | SN:   99 | WE:  -10 |W N:   -1
W1    | SE:  990 | SN:   99 | WE:  -11 |W N:   -1
W3    | SE:  990 | SN:   99 | WE:  -14 |W N:   -1
R90   | SE:  990 | SN:   99 | WE:   -1 |W N:   14
E5    | SE:  990 | SN:   99 | WE:    4 |W N:   14
R180  | SE:  990 | SN:   99 | WE:   -4 |W N:  -14
S4    | SE:  990 | SN:   99 | WE:   -4 |W N:  -18
F55   | SE:  770 | SN: -891 | WE:   -4 |W N:  -18
L90   | SE:  770 | SN: -891 | WE:   18 |W N:   -4
E5    | SE:  770 | SN: -891 | WE:   23 |W N:   -4
S3    | SE:  770 | SN: -891 | WE:   23 |W N:   -7
R180  | SE:  770 | SN: -891 | WE:  -23 |W N:    7
N2    | SE:  770 | SN: -891 | WE:  -23 |W N:    9
W3    | SE:  770 | SN: -891 | WE:  -26 |W N:    9
S1    | SE:  770 | SN: -891 | WE:  -26 |W N:    8
F64   | SE: -894 | SN: -379 | WE:  -26 |W N:    8
W4    | SE: -894 | SN: -379 | WE:  -30 |W N:    8
F76   | SE: -3174 | SN:  229 | WE:  -30 |W N:    8
N2    | SE: -3174 | SN:  229 | WE:  -30 |W N:   10
F7    | SE: -3384 | SN:  299 | WE:  -30 |W N:   10
L180  | SE: -3384 | SN:  299 | WE:   30 |W N:  -10
S2    | SE: -3384 | SN:  299 | WE:   30 |W N:  -12
E5    | SE: -3384 | SN:  299 | WE:   35 |W N:  -12
S2    | SE: -3384 | SN:  299 | WE:   35 |W N:  -14
F87   | SE: -339 | SN: -919 | WE:   35 |W N:  -14
N4    | SE: -339 | SN: -919 | WE:   35 |W N:  -10
L90   | SE: -339 | SN: -919 | WE:   10 |W N:   35
F46   | SE:  121 | SN:  691 | WE:   10 |W N:   35
R90   | SE:  121 | SN:  691 | WE:   35 |W N:  -10
F47   | SE: 1766 | SN:  221 | WE:   35 |W N:  -10
W5    | SE: 1766 | SN:  221 | WE:   30 |W N:  -10
